番号,21,
名前,ルシフェル,
呼び名,ルシフェル,
基礎,体力,2100
基礎,气力,1200
基礎,种族,21
基礎,种族思考,21
素質,高傲,
素質,强硬,
素質,不重贞操,
素質,不知羞耻,
素質,聪慧,
素質,污臭敏感,
素質,好色,
素質,性变态,
素質,小恶魔,
素質,Ａ敏感,
素質,Ｂ敏感,
素質,巨乳,
素質,魅力,
素質,治愈,
素質,具现,
素質,羽翼,12
素質,肤色,1
素質,上位梦魔,
素質,小根术,1
能力,欲望,3
能力,技巧,4
能力,Ｃ感觉,2
能力,Ｖ感觉,2
能力,Ａ感觉,2
能力,精液上瘾,1
能力,Ｂ感觉,2
能力,施虐倾向,2
能力,Ｍ感觉,2
経験,Ｖ经验,50
経験,Ａ经验,20
経験,绝顶经验,15
経験,Ｖ性交经验,30
経験,Ａ性交经验,10
経験,Ｖ插入经验,2
経験,精液经验,10
経験,侍奉快乐经验,20
経験,口交经验,25
経験,手淫经验,40
経験,足交经验,15
経験,腰技经验,20
経験,乳交经验,20
経験,Ａ刺激经验,3
経験,舔阴经验,10
経験,嗜虐快乐经验,30
経験,百合经验,30
経験,亲吻经验,21
相性,20,150
;フラグ,10,1
