番号,61,
名前,ヴァルキリー,
呼び名,ヴァルキリー,
基礎,体力,2500
基礎,気力,2000
基礎,種族,61
基礎,種族思考,61
素質,気丈,
素質,強気,
素質,冷静,
素質,一線越えない,
素質,貞操無頓着,
素質,恥薄い,
素質,痛みに強い,
素質,気品,
素質,汚臭鈍感,
素質,快感に素直,
素質,倒錯的,
素質,両刀,
素質,Ｃ敏感,
素質,Ｖ敏感,
素質,巨乳,
素質,回復早い,
素質,魅力,
素質,力持ち,
素質,肌の色,2
素質,上位夢魔,
能力,欲望,1
能力,技巧,2
能力,Ｃ感覚,2
能力,Ｖ感覚,1
能力,レズっ気,1
能力,精液中毒,1
経験,Ｖ経験,50
経験,絶頂経験,10
経験,Ｖ性交経験,40
経験,精液経験,30
経験,奉仕快楽経験,50
経験,フェラ経験,20
経験,手淫経験,40
経験,足コキ経験,10
経験,腰使い経験,40
経験,パイズリ経験,10
経験,クンニ経験,10
経験,レズ経験,50
経験,キス経験,20
;フラグ,10,1
